            X               Y   Area
 ------------------------------------
    -0.267000         4.50670    R2
     -8.27300        -9.90990    R2
     -7.46410        -4.33780    R2
      5.47150         5.38250    R2
      8.76570        0.977400    R2
      12.5523        -3.73290    R3
     -9.68440         9.30960    R2
     -13.7402        -10.0826    R3
     -4.12910         5.15680    R2
     -4.52710         13.3954    R3
     -7.93720         11.9846    R3
     -11.0780         12.2926    R3
    -0.707700       -0.429900    R1
      6.37560        -8.27930    R2
      2.04410         10.2603    R3
      6.39570        -13.4819    R3
      6.94900        -1.22000    R2
      7.72150        -4.64670    R2
      12.6443        -7.71100    R3
      11.9492        -5.82520    R3
     -1.74780        -7.66910    R2
     -1.87020        -7.70380    R2
     -7.51280         4.63450    R2
      4.81830         1.12660    R2
      8.01600        -4.58630    R2
     -8.72590        -10.3592    R3
     0.651100        0.424900    R1
      13.6670        -9.63610    R3
      5.93600         7.90900    R2
     -10.9308         12.4088    R3
     -10.2193         8.78400    R3
      9.78480         12.9305    R3
     -7.88060         10.3521    R3
     -3.26040         11.6497    R3
      7.13750         3.77140    R2
     -3.56300         5.97960    R2
      10.1991        0.242800    R3
      2.56910        -12.7683    R3
     -4.19380        -9.27480    R2
    -0.318400         3.19320    R2
      1.25790         7.28140    R2
      1.15900        -11.0446    R3
      12.9713        -7.14730    R3
      11.3181        -6.37340    R3
     -3.44750        -1.59460    R2
      1.78590        -9.50250    R2
      3.74100         1.00810    R2
     -13.7078         13.7908    R3
     -11.7564        -4.13210    R3
     -2.95280        -9.25930    R2
     0.588400        -1.91120    R1
    -0.203900        -2.28680    R1
      9.77950         2.83200    R2
     -4.71740         10.3086    R3
      1.93660        -4.23120    R2
     -2.37200        0.872100    R2
     -13.8410        -6.75520    R3
      2.68410         3.38820    R2
     -12.3742         11.1197    R3
      7.38800       -0.810700    R2
     -6.30360         2.26020    R2
     -6.29420         13.0242    R3
      12.7509        -3.97510    R3
      4.75840        -7.13900    R2
     -13.0043        -7.28190    R3
     -12.4604         9.85490    R3
     -8.43740        -13.8398    R3
     -3.34650         7.18950    R2
     -6.74950         7.30960    R2
      9.51410        -4.42610    R2
      10.4513        -10.6880    R3
      12.8923        -10.5857    R3
     -13.3202        -9.44860    R3
      3.16790         10.2432    R3
     -9.59470         3.42070    R2
      3.06410        -1.85920    R2
    -0.701100         8.07280    R2
     -12.4458       -0.549800    R3
     -7.32290         6.46690    R2
      8.75250        -5.56320    R2
     -12.9746         11.3628    R3
      11.1933        -6.30760    R3
    -0.790100        -7.18410    R2
      5.40760         6.63880    R2
     -10.2712         12.9235    R3
      6.50690         7.34130    R2
    -0.465400        -5.17520    R2
      1.66000         10.5767    R3
      1.33010        -11.8627    R3
      7.92430         11.0945    R3
      8.08030         10.6540    R3
      2.21630        -11.3595    R3
     -3.02280        -5.91880    R2
     0.716700        -4.21040    R2
      1.40530         12.3674    R3
     -2.66030        -9.99230    R2
      12.0091         11.8488    R3
      7.77930         9.98070    R2
     -9.27460         1.90610    R2
     -13.9548         11.0172    R3
     -11.1195        -9.79780    R3
      2.73910         10.1959    R3
     -12.6817        -8.73770    R3
      11.4572         11.3330    R3
      10.2901        -11.4064    R3
      10.6658        -3.99130    R3
     -4.85980         11.4499    R3
     -7.37620        -2.53140    R2
      3.33520        -11.4966    R3
      4.53740         12.3406    R3
      11.1490         8.82930    R3
      7.62200        -4.95210    R2
      9.15320        -12.4813    R3
      2.86000        -8.06350    R2
      6.05010        -4.84770    R2
     -2.14850         8.21630    R2
     -5.64670        -9.72420    R2
      3.55230        -12.0521    R3
      2.12370         1.61790    R2
     -2.16600         7.99220    R2
      10.2485        -8.80390    R3
     -8.21640        -5.05090    R2
     -9.03880        -7.72420    R2
     -2.38960        -6.20980    R2
      1.57370        -5.67720    R2
      3.39410         13.2246    R3
     -12.3953        -4.45860    R3
     -3.91330         1.28750    R2
     9.140000E-02   -0.583000    R1
     -9.05680        -13.2633    R3
     -5.34440         2.83940    R2
      8.32000        -6.43870    R2
      1.05020        -7.44380    R2
     -13.3165         6.59900    R3
     -9.33090        -10.4066    R3
     -11.3878        -12.6798    R3
      13.3301         9.89070    R3
      13.1942         9.01880    R3
      8.61790        -3.61300    R2
      7.57610         8.01190    R2
     -7.88170         6.03020    R2
     -1.69220        -2.99290    R2
     -2.22770        -6.62350    R2
     -1.44400        -7.48870    R2
