 T,P,V
         0.00000000000      ,        -0.666666686535    ,        -0.500000000000
          0.500000000000    ,         -1.88268189212    ,         -8.99368159238
           1.00000000000    ,         -36.2259734845    ,         -273.719712930
           1.50000000000    ,         -1109.31981157    ,         -8579.87717242
           2.00000000000    ,         -34780.6065172    ,         -269249.849624
           2.50000000000    ,         -1091478.43663    ,         -8449840.57656
           3.00000000000    ,         -34253765.6563    ,         -265180904.291
           3.50000000000    ,         -1074984142.62    ,         -8322158912.32
           4.00000000000    ,         -33736173006.9    ,         -261173892942.
           4.50000000000    ,      -1.058740614073E+12  ,      -8.196407095597E+12
           5.00000000000    ,      -3.322640323594E+13  ,      -2.572274300474E+14
           5.50000000000    ,      -1.042742535164E+15  ,      -8.072555449859E+15
           6.00000000000    ,      -3.272433633337E+16  ,      -2.533406001025E+17
           6.50000000000    ,      -1.026986194910E+18  ,      -7.950575261941E+18
           7.00000000000    ,      -3.222985590270E+19  ,      -2.495125020238E+20
           7.50000000000    ,      -1.011467940521E+21  ,      -7.830438253217E+21
           8.00000000000    ,      -3.174284730871E+22  ,      -2.457422483447E+23
           8.50000000000    ,      -9.961841744043E+23  ,      -7.712116572365E+24
           9.00000000000    ,      -3.126319764835E+25  ,      -2.420289650085E+26
           9.50000000000    ,      -9.811313533306E+26  ,      -7.595582788908E+27
           10.0000000000    ,      -3.079079572461E+28  ,      -2.383717911661E+29
           10.5000000000    ,      -9.663059876092E+29  ,      -7.480809886858E+30
           11.0000000000    ,      -3.032553202070E+31  ,      -2.347698789759E+32
           11.5000000000    ,      -9.517046402804E+32  ,      -7.367771258454E+33
           12.0000000000    ,      -2.986729867469E+34  ,      -2.312223934079E+35
           12.5000000000    ,      -9.373239263188E+35  ,      -7.256440697986E+36
           13.0000000000    ,      -2.941598945452E+37  ,      -2.277285120498E+38
           13.5000000000    ,      -9.231605118484E+38  ,      -7.146792395729E+39
           14.0000000000    ,      -2.897149973330E+40  ,      -2.242874249162E+41
           14.5000000000    ,      -9.092111133694E+41  ,      -7.038800931953E+42
           15.0000000000    ,      -2.853372646513E+43  ,      -2.208983342610E+44
           15.5000000000    ,      -8.954724969977E+44  ,      -6.932441271035E+45
           16.0000000000    ,      -2.810256816119E+46  ,      -2.175604543924E+47
           16.5000000000    ,      -8.819414777142E+47  ,      -6.827688755649E+48
           17.0000000000    ,      -2.767792486620E+49  ,      -2.142730114910E+50
           17.5000000000    ,      -8.686149186274E+50  ,      -6.724519101054E+51
           18.0000000000    ,      -2.725969813523E+52  ,      -2.110352434298E+53
           18.5000000000    ,      -8.554897302456E+53  ,      -6.622908389465E+54
           19.0000000000    ,      -2.684779101093E+55  ,      -2.078463995983E+56
           19.5000000000    ,      -8.425628697607E+56  ,      -6.522833064505E+57
           20.0000000000    ,      -2.644210800100E+58  ,      -2.047057407279E+59
           20.5000000000    ,      -8.298313403430E+59  ,      -6.424269925743E+60
           21.0000000000    ,      -2.604255505610E+61  ,      -2.016125387205E+62
           21.5000000000    ,      -8.172921904464E+62  ,      -6.327196123322E+63
           22.0000000000    ,      -2.564903954799E+64  ,      -1.985660764804E+65
           22.5000000000    ,      -8.049425131238E+65  ,      -6.231589152653E+66
           23.0000000000    ,      -2.526147024811E+67  ,      -1.955656477470E+68
           23.5000000000    ,      -7.927794453538E+68  ,      -6.137426849206E+69
           24.0000000000    ,      -2.487975730639E+70  ,      -1.926105569322E+71
           24.5000000000    ,      -7.808001673765E+71  ,      -6.044687383365E+72
           25.0000000000    ,      -2.450381223046E+73  ,      -1.897001189580E+74
           25.5000000000    ,      -7.690019020398E+74  ,      -5.953349255370E+75
           26.0000000000    ,      -2.413354786509E+76  ,      -1.868336590988E+77
           26.5000000000    ,      -7.573819141559E+77  ,      -5.863391290334E+78
           27.0000000000    ,      -2.376887837201E+79  ,      -1.840105128240E+80
           27.5000000000    ,      -7.459375098668E+80  ,      -5.774792633332E+81
           28.0000000000    ,      -2.340971921003E+82  ,      -1.812300256447E+83
           28.5000000000    ,      -7.346660360202E+83  ,      -5.687532744568E+84
           29.0000000000    ,      -2.305598711540E+85  ,      -1.784915529613E+86
           29.5000000000    ,      -7.235648795541E+86  ,      -5.601591394610E+87
           30.0000000000    ,      -2.270760008252E+88  ,      -1.757944599147E+89
           30.5000000000    ,      -7.126314668910E+89  ,      -5.516948659705E+90
           31.0000000000    ,      -2.236447734494E+91  ,      -1.731381212388E+92
           31.5000000000    ,      -7.018632633417E+92  ,      -5.433584917155E+93
           32.0000000000    ,      -2.202653935663E+94  ,      -1.705219211153E+95
           32.5000000000    ,      -6.912577725171E+95  ,      -5.351480840772E+96
           33.0000000000    ,      -2.169370777355E+97  ,      -1.679452530316E+98
           33.5000000000    ,      -6.808125357498E+98  ,      -5.270617396396E+99
           34.0000000000    ,      -2.136590543546E+0100,      -1.654075196395E+0101
