 T,P,V
         0.00000000000      ,        -0.666666686535    ,        -0.500000000000
          0.500000000000    ,         -17.9540599445    ,         -6.37743764946
           1.00000000000    ,         -127.250195910    ,         -42.9712371049
           1.50000000000    ,         -792.250651837    ,         -264.881542372
           2.00000000000    ,         -4797.08081155    ,         -1600.20228776
           2.50000000000    ,         -28849.6419206    ,         -9618.31439441
           3.00000000000    ,         -173202.355877    ,         -57736.8178841
           3.50000000000    ,         -1039377.70015    ,         -346463.403708
           4.00000000000    ,         -6236523.10774    ,         -2078847.52933
           4.50000000000    ,         -37419543.0417    ,         -12473191.1769
           5.00000000000    ,         -224517895.669    ,         -74839314.5164
           5.50000000000    ,         -1347108379.59    ,         -449036151.647
           6.00000000000    ,         -8082651864.72    ,         -2694217327.83
           6.50000000000    ,         -48495913694.5    ,         -16165304627.3
           7.00000000000    ,         -290975486125.    ,         -96991828806.8
           7.50000000000    ,      -1.745852922999E+12  ,         -581950974489.
           8.00000000000    ,      -1.047511754787E+13  ,      -3.491705849535E+12
           8.50000000000    ,      -6.285070530281E+13  ,      -2.095023510133E+13
           9.00000000000    ,      -3.771042318415E+14  ,      -1.257014106145E+14
           9.50000000000    ,      -2.262625391088E+15  ,      -7.542084636970E+14
           10.0000000000    ,      -1.357575234659E+16  ,      -4.525250782198E+15
           10.5000000000    ,      -8.145451407963E+16  ,      -2.715150469321E+16
           11.0000000000    ,      -4.887270844780E+17  ,      -1.629090281593E+17
           11.5000000000    ,      -2.932362506868E+18  ,      -9.774541689560E+17
           12.0000000000    ,      -1.759417504121E+19  ,      -5.864725013736E+18
           12.5000000000    ,      -1.055650502473E+20  ,      -3.518835008242E+19
           13.0000000000    ,      -6.333903014835E+20  ,      -2.111301004945E+20
           13.5000000000    ,      -3.800341808901E+21  ,      -1.266780602967E+21
           14.0000000000    ,      -2.280205085341E+22  ,      -7.600683617802E+21
           14.5000000000    ,      -1.368123051204E+23  ,      -4.560410170681E+22
           15.0000000000    ,      -8.208738307226E+23  ,      -2.736246102409E+23
           15.5000000000    ,      -4.925242984336E+24  ,      -1.641747661445E+24
           16.0000000000    ,      -2.955145790601E+25  ,      -9.850485968672E+24
           16.5000000000    ,      -1.773087474361E+26  ,      -5.910291581203E+25
           17.0000000000    ,      -1.063852484617E+27  ,      -3.546174948722E+26
           17.5000000000    ,      -6.383114907699E+27  ,      -2.127704969233E+27
           18.0000000000    ,      -3.829868944619E+28  ,      -1.276622981540E+28
           18.5000000000    ,      -2.297921366772E+29  ,      -7.659737889239E+28
